id,name,region,population,latitude,longitude,avg_rent_usd,climate_score,sea_score,internet_score,safety_score,ecology_score,infrastructure_score,description,pros,cons,attractions,transport_info,education_info,healthcare_info,job_info,monthly_budget_usd,suitable_for,relocation_summary
1,Москва,Москва,13100000,55.7558,37.6173,950,6.5,2,9.8,7.2,5.0,10,Крупнейший деловой и культурный центр страны,развитый рынок жилья; развитая инфраструктура; хороший интернет для учебы и удаленной работы,аренда выше среднего,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Москва связан с другими населенными пунктами региона Москва; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",1710,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Москва стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
2,Санкт-Петербург,Санкт-Петербург,5600000,59.9343,30.3351,720,5.8,7,9.5,7.4,5.7,9.7,Крупный исторический город с сильной инфраструктурой,развитый рынок жилья; развитая инфраструктура; спокойные районы для жизни; близость к морю или крупной воде; хороший интернет для учебы и удаленной работы,аренда выше среднего,центральная площадь; городская набережная или главный парк; исторический центр; морские прогулки и пляжные зоны,"Санкт-Петербург связан с другими населенными пунктами региона Санкт-Петербург; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",1296,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Санкт-Петербург стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
3,Новосибирск,Новосибирская область,1630000,55.0084,82.9357,430,4.2,1,9.0,7.0,5.8,8.8,Главный город Сибири с развитой наукой и бизнесом,развитый рынок жилья; развитая инфраструктура; хороший интернет для учебы и удаленной работы,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Новосибирск связан с другими населенными пунктами региона Новосибирская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",850,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Новосибирск стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
4,Екатеринбург,Свердловская область,1540000,56.8389,60.6057,460,4.8,1,9.1,7.1,5.4,9.0,Крупный уральский центр промышленности и образования,развитый рынок жилья; развитая инфраструктура; хороший интернет для учебы и удаленной работы,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Екатеринбург связан с другими населенными пунктами региона Свердловская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",880,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Екатеринбург стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
5,Казань,Республика Татарстан,1320000,55.7961,49.1064,470,6.0,3,9.2,7.8,6.3,9.2,Комфортный город с сильной культурой и университетами,развитый рынок жилья; развитая инфраструктура; приятная городская среда; спокойные районы для жизни; хороший интернет для учебы и удаленной работы,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; парки и природные места рядом с городом,"Казань связан с другими населенными пунктами региона Республика Татарстан; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",890,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Казань стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
6,Нижний Новгород,Нижегородская область,1220000,56.2965,43.9361,410,5.7,3,8.8,7.2,5.9,8.7,Исторический город на Волге с хорошей транспортной связью,развитый рынок жилья; развитая инфраструктура; хороший интернет для учебы и удаленной работы,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Нижний Новгород связан с другими населенными пунктами региона Нижегородская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",830,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Нижний Новгород стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
7,Челябинск,Челябинская область,1180000,55.1644,61.4368,360,4.6,1,8.5,6.5,4.0,8.2,Крупный промышленный город Южного Урала,развитый рынок жилья; развитая инфраструктура,есть экологические вопросы; стоит внимательнее выбирать район,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Челябинск связан с другими населенными пунктами региона Челябинская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",780,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Челябинск стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
8,Красноярск,Красноярский край,1190000,56.0153,92.8932,410,4.0,1,8.8,6.8,4.5,8.6,Сибирский город у Енисея с красивой природой рядом,развитый рынок жилья; развитая инфраструктура; хороший интернет для учебы и удаленной работы,есть экологические вопросы,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Красноярск связан с другими населенными пунктами региона Красноярский край; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",830,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Красноярск стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
9,Самара,Самарская область,1160000,53.1959,50.1008,390,6.2,4,8.7,7.1,5.6,8.5,Волжский город с набережной и развитой промышленностью,развитый рынок жилья; развитая инфраструктура; хороший интернет для учебы и удаленной работы,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Самара связан с другими населенными пунктами региона Самарская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",810,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Самара стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
10,Уфа,Республика Башкортостан,1140000,54.7351,55.9587,370,5.4,2,8.7,7.2,5.8,8.5,Зеленый миллионник с промышленностью и вузами,развитый рынок жилья; развитая инфраструктура; хороший интернет для учебы и удаленной работы,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Уфа связан с другими населенными пунктами региона Республика Башкортостан; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",790,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Уфа стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
11,Ростов-на-Дону,Ростовская область,1130000,47.2221,39.7203,410,7.8,4,8.8,6.8,5.6,8.6,Южный транспортный центр с теплым климатом,развитый рынок жилья; развитая инфраструктура; хороший интернет для учебы и удаленной работы,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Ростов-на-Дону связан с другими населенными пунктами региона Ростовская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",830,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Ростов-на-Дону стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
12,Омск,Омская область,1120000,54.9893,73.3682,330,4.2,1,8.4,6.7,4.8,8.0,Крупный город Западной Сибири с доступной арендой,доступная аренда; развитая инфраструктура,есть экологические вопросы; стоит внимательнее выбирать район,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Омск связан с другими населенными пунктами региона Омская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",750,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Омск стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
13,Краснодар,Краснодарский край,1100000,45.0355,38.9753,470,8.4,6,8.9,7.0,5.9,8.8,Быстрорастущий южный город с мягкой зимой,развитый рынок жилья; развитая инфраструктура; хороший интернет для учебы и удаленной работы,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Краснодар связан с другими населенными пунктами региона Краснодарский край; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",890,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Краснодар стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
14,Воронеж,Воронежская область,1050000,51.6608,39.2003,360,6.7,2,8.6,7.0,5.8,8.2,Крупный город Центральной России с умеренными ценами,развитый рынок жилья; развитая инфраструктура,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Воронеж связан с другими населенными пунктами региона Воронежская область; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",780,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Воронеж стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
15,Пермь,Пермский край,1030000,58.0105,56.2502,350,4.5,1,8.6,6.9,5.2,8.3,Уральский город на Каме с сильной промышленностью,доступная аренда; развитая инфраструктура,в популярных районах возможны пробки,центральная площадь; городская набережная или главный парк; исторический центр; музеи и городские культурные площадки,"Пермь связан с другими населенными пунктами региона Пермский край; внутри города доступны автобусы, маршрутные такси и основные городские дороги.","Есть школы, колледжи и центры дополнительного образования; в крупных городах представлены вузы и филиалы университетов.","Работают поликлиники, больницы, аптеки и частные медицинские центры; уровень доступности зависит от района.","Основные возможности связаны с торговлей, услугами, бюджетной сферой, промышленностью и удаленной работой.",770,"студентам, молодым специалистам, семьям и тем, кто подбирает город по балансу цены и качества жизни","Пермь стоит рассматривать для переезда, если вам подходят его цены, климат и уровень городской инфраструктуры."
